price,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,minimum_nights,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,cancellation_policy
$109.00,38.903431907125615,-77.02692745576277,House,Private room,1,1.0,1.0,1.0,3,34,83.0,9.0,9.0,9.0,9.0,moderate
$150.00,38.89797686579215,-77.01487156788517,Apartment,Entire home/apt,4,1.0,1.0,2.0,2,25,95.0,10.0,10.0,10.0,10.0,flexible
$295.00,38.90461775618092,-77.02703882516533,Apartment,Entire home/apt,5,1.0,0.0,3.0,3,45,89.0,9.0,9.0,9.0,10.0,strict
$210.00,38.90144491383785,-77.01347210899165,Apartment,Entire home/apt,3,1.0,1.0,1.0,1,57,95.0,10.0,10.0,10.0,10.0,strict
$329.00,38.904744836146996,-77.02741068508574,Apartment,Entire home/apt,6,1.5,2.0,2.0,3,21,91.0,9.0,9.0,9.0,10.0,strict
$150.00,38.90297397689842,-77.0175064446253,Apartment,Entire home/apt,2,1.0,1.0,1.0,1,1,100.0,10.0,10.0,10.0,10.0,flexible
$175.00,38.903773564681394,-77.01197060565838,Apartment,Entire home/apt,3,1.0,1.0,2.0,2,139,98.0,10.0,10.0,10.0,10.0,moderate
$129.00,38.90066143131608,-77.016289275751,Apartment,Entire home/apt,3,1.0,1.0,2.0,1,7,97.0,9.0,10.0,10.0,9.0,flexible
$250.00,38.90033876124959,-77.01623091663905,Apartment,Entire home/apt,2,1.0,1.0,1.0,2,17,99.0,10.0,10.0,10.0,10.0,strict
$168.00,38.90600704514318,-77.03382797672387,Apartment,Entire home/apt,4,1.0,1.0,2.0,1,136,93.0,9.0,9.0,10.0,10.0,moderate
$290.00,38.902649560479816,-77.01279580076186,Apartment,Entire home/apt,4,2.0,2.0,2.0,3,32,99.0,10.0,10.0,10.0,10.0,moderate
$109.00,38.89955356718985,-77.01075244721703,Apartment,Private room,2,1.0,1.0,1.0,1,5,93.0,10.0,10.0,10.0,10.0,strict
$99.00,38.90556059096782,-77.01579703933767,Apartment,Entire home/apt,4,1.0,1.0,2.0,1,3,87.0,9.0,9.0,9.0,8.0,moderate
$120.00,38.90499994382429,-77.02955949748464,Apartment,Entire home/apt,4,1.0,1.0,2.0,3,3,93.0,10.0,10.0,10.0,10.0,strict
$290.00,38.90437186528554,-77.01711000789547,Apartment,Entire home/apt,2,1.0,1.0,2.0,1,1,100.0,10.0,10.0,10.0,10.0,flexible
$145.00,38.90057677995132,-77.01565248370376,Apartment,Entire home/apt,3,1.0,1.0,1.0,1,5,100.0,10.0,9.0,10.0,10.0,moderate
$210.00,38.90030689092009,-77.01646804426305,Apartment,Entire home/apt,4,1.0,1.0,1.0,1,87,95.0,9.0,10.0,9.0,9.0,strict
$99.00,38.90084751945177,-77.01607553253781,Apartment,Private room,2,1.0,1.0,1.0,1,2,100.0,10.0,10.0,10.0,10.0,flexible
$399.00,38.90424190505642,-77.01261608850139,Apartment,Entire home/apt,4,1.0,1.0,1.0,1,16,95.0,9.0,10.0,10.0,10.0,moderate
$150.00,38.900991894994654,-77.01942861391484,Apartment,Private room,2,1.0,1.0,1.0,1,4,85.0,9.0,9.0,10.0,9.0,flexible
$199.00,38.89374421827236,-77.02300195059931,Apartment,Entire home/apt,1,1.0,1.0,1.0,7,1,100.0,10.0,10.0,10.0,10.0,flexible
$135.00,38.9022662947585,-77.02497973457345,Apartment,Entire home/apt,2,1.0,1.0,1.0,5,27,98.0,10.0,10.0,10.0,10.0,flexible
$295.00,38.89341560725821,-77.0199032568502,Apartment,Entire home/apt,4,1.0,1.0,1.0,1,20,96.0,9.0,10.0,10.0,10.0,flexible
$400.00,38.90535691434938,-77.02575560072736,House,Entire home/apt,8,2.5,4.0,4.0,3,26,88.0,9.0,9.0,9.0,9.0,strict
$295.00,38.90521149527671,-77.01834247489596,Apartment,Entire home/apt,6,2.0,2.0,3.0,1,43,94.0,10.0,9.0,10.0,10.0,strict
$179.00,38.90123476825083,-77.01751801645041,Apartment,Entire home/apt,4,1.5,1.0,2.0,2,163,94.0,9.0,9.0,9.0,10.0,moderate
$309.00,38.89909726696623,-77.03269054540472,Apartment,Entire home/apt,4,2.0,2.0,2.0,4,23,90.0,10.0,9.0,9.0,10.0,super_strict_30
$43.00,38.90395938710053,-77.00988865188717,Apartment,Shared room,2,1.0,1.0,1.0,1,10,90.0,10.0,10.0,9.0,9.0,flexible
$269.00,38.90385713921789,-77.02939549406855,Apartment,Entire home/apt,4,1.0,2.0,2.0,2,5,100.0,10.0,10.0,10.0,10.0,moderate
$150.00,38.90243693551708,-77.05019610164116,Apartment,Entire home/apt,2,1.0,0.0,1.0,2,73,87.0,9.0,9.0,9.0,10.0,moderate
$269.00,38.90008916471499,-77.01881709305177,Apartment,Entire home/apt,2,1.0,1.0,1.0,3,3,93.0,9.0,10.0,9.0,9.0,super_strict_30
