;id;fecha;producto_latitud;producto_longitud;url;tipo_propiedad
105;MLA1395682061;22/11/2023;-34.6149173;-58.402883;https://inmueble.mercadolibre.com.ar/MLA-1395682061-alquiler-o-venta-local-balvanera-calle-saavedra-a-metros-de-av-belgrano-y-av-jujuy-_JM;Local
106;MLA1395716843;22/11/2023;-34.7791825;-58.3100123;https://inmueble.mercadolibre.com.ar/MLA-1395716843-alquiler-de-amplio-local-av844-san-francisco-solano-centro-_JM;Local
107;MLA1395791403;22/11/2023;-31.8635408;-64.97892;https://inmueble.mercadolibre.com.ar/MLA-1395791403-venta-de-locales-en-las-rabonas-traslasierra-cordoba-_JM;Local
108;MLA1395833535;22/11/2023;-34.4470609;-58.5431378;https://inmueble.mercadolibre.com.ar/MLA-1395833535-local-en-alquiler-excelente-esquina-sobre-avenida-del-libertador-apto-gastronomico-_JM;Local
109;MLA1395857761;22/11/2023;-31.4184019;-64.1893803;https://inmueble.mercadolibre.com.ar/MLA-1395857761-local-con-gas-pleno-centro-_JM;Local
110;MLA1395883781;22/11/2023;-34.5872263;-58.3953727;https://inmueble.mercadolibre.com.ar/MLA-1395883781-local-en-recoleta-_JM;Local
111;MLA1395903441;22/11/2023;-34.6649152;-58.5428834;https://inmueble.mercadolibre.com.ar/MLA-1395903441-alquiler-local-comercial-lomas-del-mirador-_JM;Local
112;MLA1395959259;22/11/2023;-34.5969053;-58.4578283;https://inmueble.mercadolibre.com.ar/MLA-1395959259-alquiler-local-en-chacarita-_JM;Local
113;MLA1396029755;22/11/2023;-37.1146948;-56.8584112;https://inmueble.mercadolibre.com.ar/MLA-1396029755-vendo-wiches-local-propiedad-y-fdo-de-comercio-en-centro-pinamar-_JM;Local
114;MLA1396033531;22/11/2023;-34.614749;-58.474254;https://inmueble.mercadolibre.com.ar/MLA-1396033531-local-en-alquiler-en-villa-santa-rita-capital-federal-buenos-aires-_JM;Local
115;MLA1396043447;22/11/2023;-34.55112;-58.46766;https://inmueble.mercadolibre.com.ar/MLA-1396043447-local-en-venta-en-nunez-capital-federal-buenos-aires-_JM;Local
116;MLA1396046363;22/11/2023;-34.5697354;-58.5734224;https://inmueble.mercadolibre.com.ar/MLA-1396046363-local-en-venta-en-almagro-_JM;Local
117;MLA1396104709;22/11/2023;-34.6010494;-58.3745889;https://inmueble.mercadolibre.com.ar/MLA-1396104709-local-en-venta-en-galeria-jardin-_JM;Local
118;MLA1396122865;22/11/2023;-34.5892322;-58.4016088;https://inmueble.mercadolibre.com.ar/MLA-1396122865-local-en-venta-en-recoleta-_JM;Local
119;MLA1396224607;22/11/2023;-37.1115169;-56.8751235;https://inmueble.mercadolibre.com.ar/MLA-1396224607-local-en-venta-pinamar-centro-_JM;Local
120;MLA1396224621;22/11/2023;-37.1115169;-56.8751235;https://inmueble.mercadolibre.com.ar/MLA-1396224621-local-en-venta-pinamar-centro-_JM;Local
121;MLA1396240977;22/11/2023;-34.538117;-58.476532;https://inmueble.mercadolibre.com.ar/MLA-1396240977-florida-mitre-galeria-monumental-venta-2-locales-en-block-_JM;Local
122;MLA1396253699;22/11/2023;-34.5514299;-58.512189;https://inmueble.mercadolibre.com.ar/MLA-1396253699-local-en-venta-de-21mts-sin-expensas-_JM;Local
123;MLA1396266501;22/11/2023;-34.4945574;-58.5517732;https://inmueble.mercadolibre.com.ar/MLA-1396266501-local-en-galeria-don-bosco-con-cochera-_JM;Local
124;MLA1396266509;22/11/2023;-34.5123511;-58.5165437;https://inmueble.mercadolibre.com.ar/MLA-1396266509-excelente-local-en-esquina-ph-2amb-con-patio-_JM;Local
125;MLA1396288667;22/11/2023;-34.4620865;-58.5084449;https://inmueble.mercadolibre.com.ar/MLA-1396288667-venta-con-renta-excelente-local-en-el-bajo-de-san-isidro-_JM;Local
126;MLA1396430463;22/11/2023;-34.3971113;-58.6491759;https://inmueble.mercadolibre.com.ar/MLA-1396430463-local-comercial-en-alquiler-en-bahia-grande-nordelta-_JM;Local
127;MLA1396436125;22/11/2023;-31.298102;-64.2879398;https://inmueble.mercadolibre.com.ar/MLA-1396436125-local-en-venta-en-villa-allende-_JM;Local
128;MLA1396440387;22/11/2023;-34.4902892;-58.4983954;https://inmueble.mercadolibre.com.ar/MLA-1396440387-local-de-40m2-con-excelente-ubicacion-zona-martinez-centro-a-2-cuadras-de-alvear-y-1-de-av-santa-fe-_JM;Local
129;MLA1396464317;22/11/2023;-34.638808;-58.5045105;https://inmueble.mercadolibre.com.ar/MLA-1396464317-local-en-alquiler-guardia-nacional-y-boulevard-ramon-falcon-_JM;Local
130;MLA1396489925;22/11/2023;-31.4142019;-64.1856323;https://inmueble.mercadolibre.com.ar/MLA-1396489925-local-en-galeria-general-paz-_JM;Local
131;MLA1396495917;22/11/2023;-34.4526962;-58.5270345;https://inmueble.mercadolibre.com.ar/MLA-1396495917-local-san-isidro-alquiler-san-fernando-_JM;Local
132;MLA1411000340;22/11/2023;-34.6097921;-58.4226593;https://inmueble.mercadolibre.com.ar/MLA-1411000340-local-almagro-_JM;Local
133;MLA1412812728;22/11/2023;-31.9089342;-64.5740952;https://inmueble.mercadolibre.com.ar/MLA-1412812728-local-en-los-reartes-sobre-ruta-s-210-camino-a-la-cumbrecita-_JM;Local
134;MLA1415994270;22/11/2023;-32.9142466;-60.9327713;https://inmueble.mercadolibre.com.ar/MLA-1415994270-local-comercial-27m-unico-ambiente-518m-terreno-_JM;Local
135;MLA1419043502;22/11/2023;-37.111516;-56.871371;https://inmueble.mercadolibre.com.ar/MLA-1419043502-local-en-venta-en-pinamar-buenos-aires-_JM;Local
136;MLA1419602000;22/11/2023;-32.9796567;-60.6435923;https://inmueble.mercadolibre.com.ar/MLA-1419602000-local-sur-_JM;Local
137;MLA1420639622;22/11/2023;-32.9505429;-60.6620098;https://inmueble.mercadolibre.com.ar/MLA-1420639622-local-centro-_JM;Local
138;MLA1421850824;22/11/2023;-34.3973999;-58.6491852;https://inmueble.mercadolibre.com.ar/MLA-1421850824-oportunidad-local-en-la-bahia-de-nordelta-_JM;Local
139;MLA1429871358;22/11/2023;-34.6446302;-58.5655349;https://inmueble.mercadolibre.com.ar/MLA-1429871358-venta-local-ramos-mejia-_JM;Local
140;MLA1430037368;22/11/2023;-34.6253152;-58.4077469;https://inmueble.mercadolibre.com.ar/MLA-1430037368-venta-local-san-cristobal-_JM;Local
141;MLA1432946448;22/11/2023;-34.6995929;-58.3121596;https://inmueble.mercadolibre.com.ar/MLA-1432946448-las-flores-500-local-comercial-_JM;Local
142;MLA1433225768;22/11/2023;-34.5463297;-58.7068196;https://inmueble.mercadolibre.com.ar/MLA-1433225768-local-en-alquiler-primer-piso-zona-centrica-de-san-miguel-_JM;Local
